beer_name,lat,lng
ΕΖΑ,38.6312018,23.0753342
ΒΕΡΓΙΝΑ,41.0738353,25.492092
SEPTEM,38.5350089,24.1108791
CORFU BEER,39.7494378,19.6568128
ZEOS,37.6590984,22.7457882
MAGNUS,36.3772406,28.0978346
BRINKS,35.3032668,24.4599937
CRAZY DONKEY,36.384082,25.4645213
CHIOS BEER,38.319989,26.126711
ΒΑΠ,36.3818988,28.1978325
ΝΗΣΟΣ,37.5388756,25.1749806
ΧΑΡΜΑ,35.48685,23.825786
ΒΟΡΕΙΑ,41.0845604,23.6175281
VOLKAN,36.3931562,25.4615092
ZHTA-HTA-ΘΗΤΑ,38.0231582,23.8073881
CANAL DIVE,37.9234561,22.8797936
SOLO,35.31229,25.17545
ΣΤΕΡΓΙΟΥ,37.8328926,23.8056149
ΠΛΑΣΤΙΓΓΑ,39.3627696,22.9437594
ΣΚΝΙΠΑ,40.5280406,23.0413982
KEFALLONIAN BEER,8.2567968,20.6269362
ΑΛΗ,40.6859526,22.8171438
ΟΛΥΜΠΟΣ,42.8157246,-1.6646403
ΔΙΩΝΗ-ΟΡΑ,38.1751188,21.6814406
ΣΤΑΛΛΑ ΡΟΥΣΣΑ,39.1579464,20.9818888
ΣΤΙΛΒΗ,39.1579464,20.9818888
ΜΑΡΕΑ ,37.9829262,23.7190463
ΑΘΗΝΕΟ,38.0036015,23.7072896
ΛΥΡΑ,35.4954916,23.6545257
OLYMPICA MAGNA,37.7093679,21.5595479
JOHNNIE'S BEER,41.089483,24.224047
ΛΗΘΕΝΙΑ,39.5467904,21.7739378
56,37.11064,25.24349
ΘΕΡΟΣ,41.112538,24.87042
ΚΑΤΣΙΚΑ,36.62603,24.91894
NAXOS BEER,37.1035665,25.3776734
ΗΠΕΙΡΟΣ,39.7083252,20.7237136
SPARTA,36.89304,22.51888
FONIAS,40.4732432,25.4807834
NOCTUA,37.9753188,23.7099963
VAMBEER,40.3248556,22.5301856
MYKONOS,37.447288,25.344194
NOTOΣ,35.3294596,25.114209
ΚΑΡΜΑ,37.819755,22.647712
ASYLUM BEER,37.948907,23.743755
LEVANTE,37.8723145,20.7329456
ΙΚΑΡΙΩΤΙΣΣΑ,37.5967227,26.1123078
ONIRO,40.51528,22.20358
ΑΝΑΣΤΑΣΙΟΥ,38.02102,23.80189
satiros,37.9838096,23.7275388
SEVEN ISLAND,39.61847,19.90743
ΑΡΓΩ,39.3632214,22.9345136
